,cpu_name,n_cores,cpu_frequency
0,Intel® Core™ 3 Processor 201EF,4,4.8 GHz
1,Intel® Core™ 3 Processor 201E,4,4.8 GHz
2,Intel® Core™ 3 Processor 201TE,4,4.6 GHz
3,Intel® Core™ 5 Processor 211E,10,4.9 GHz
4,Intel® Core™ 5 Processor 211EF,10,4.9 GHz
5,Intel® Core™ 5 Processor 211TE,10,4.8 GHz
6,Intel® Core™ 5 Processor 221E,14,5.2 GHz
7,Intel® Core™ 5 Processor 221TE,14,5 GHz
8,Intel® Core™ 7 Processor 251E,24,5.6 GHz
9,Intel® Core™ 7 Processor 251TE,24,5.4 GHz
10,Processador Intel® Core™ 3 N350,8,3.9 GHz
11,Processador Intel® Core™ 3 N355,8,3.9 GHz
12,Processador Intel® Core™ 5 220U,10,5 GHz
13,Processador Intel® Core™ 7 250U,10,5.4 GHz
14,Processador Intel® Core™ 5 210H,8,4.8 GHz
15,Processador Intel® Core™ 5 220H,12,4.9 GHz
16,Processador Intel® Core™ 7 240H,10,5.2 GHz
17,Processador Intel® Core™ 7 250H,14,5.4 GHz
18,Intel® Core™ 9 processor 270H,14,5.8 GHz
19,Processador Intel® Core™ i5 14401E,6,4.7 GHz
20,Processador Intel® Core™ i5 14401TE,6,4.5 GHz
21,Processador Intel® Core™ i5 14501E,6,5.2 GHz
22,Processador Intel® Core™ i5 14501TE,6,5.1 GHz
23,Processador Intel® Core™ i7 14701E,8,5.4 GHz
24,Processador Intel® Core™ i7 14701TE,8,5.2 GHz
25,Processador Intel® Core™ i9 14901E,8,5.6 GHz
26,Processador Intel® Core™ i9 14901TE,8,5.5 GHz
27,Processador Intel® Core™ 7 150HL,14,5 GHz
28,Processador Intel® Core™ 3 100HL,8,4.6 GHz
29,Processador Intel® Core™ 3 100UL,6,4.5 GHz
30,Processador Intel® Core™ 5 120HL,12,4.7 GHz
31,Processador Intel® Core™ 5 120UL,10,4.6 GHz
32,Processador Intel® Core™ 5 130HL,12,4.8 GHz
33,Processador Intel® Core™ 5 130UL,10,4.7 GHz
34,Processador Intel® Core™ 7 150UL,10,5 GHz
35,Processador Intel® Core™ 7 160HL,14,5.2 GHz
36,Processador Intel® Core™ 7 160UL,10,5.2 GHz
37,Processador Intel® Core™ i9 14900KS,24,6.2 GHz
38,Processador Intel® Core™ 3 100U,6,4.7 GHz
39,Processador Intel® Core™ 3 100U,6,4.7 GHz
40,Processador Intel® Core™ 5 120U,10,5 GHz
41,Processador Intel® Core™ 7 150U,10,5.4 GHz
42,Processador Intel® Core™ i3 14100,4,4.7 GHz
43,Processador Intel® Core™ i3 14100F,4,4.7 GHz
44,Processador Intel® Core™ i3 14100T,4,4.4 GHz
45,Processador Intel® Core™ i5 14400,10,4.7 GHz
46,Processador Intel® Core™ i5 14400F,10,4.7 GHz
47,Processador Intel® Core™ i5 14400T,10,4.5 GHz
48,Processador Intel® Core™ i5 14450HX,10,4.8 GHz
49,Processador Intel® Core™ i5 14500,14,5 GHz
50,Processador Intel® Core™ i5 14500HX,14,4.9 GHz
51,Processador Intel® Core™ i5 14500T,14,4.8 GHz
52,Processador Intel® Core™ i5 14600,14,5.2 GHz
53,Processador Intel® Core™ i5 14600T,14,5.1 GHz
54,Processador Intel® Core™ i7 14650HX,16,5.2 GHz
55,Processador Intel® Core™ i7 14700,20,5.4 GHz
56,Processador Intel® Core™ i7 14700F,20,5.4 GHz
57,Processador Intel® Core™ i7 14700HX,20,5.5 GHz
58,Processador Intel® Core™ i7 14700T,20,5.2 GHz
59,Processador Intel® Core™ i9 14900,24,5.8 GHz
60,Processador Intel® Core™ i9 14900F,24,5.8 GHz
61,Processador Intel® Core™ i9 14900HX,24,5.8 GHz
62,Processador Intel® Core™ i9 14900T,24,5.5 GHz
63,Processador Intel® Core™ i5 14600K,14,5.3 GHz
64,Processador Intel® Core™ i5 14600KF,14,5.3 GHz
65,Processador Intel® Core™ i7 14700K,20,5.6 GHz
66,Processador Intel® Core™ i7 14700KF,20,5.6 GHz
67,Processador Intel® Core™ i9 14900K,24,6 GHz
68,Processador Intel® Core™ i9 14900KF,24,6 GHz
69,Processador Intel® Core™ i9-13900KS,24,6.00 GHz
70,Processador Intel® Core™ i3-1305U,5,4.50 GHz
71,Processador Intel® Core™ i3-13100,4,4.50 GHz
72,Processador Intel® Core™ i3-13100E,4,4.40 GHz
73,Processador Intel® Core™ i3-13100F,4,4.50 GHz
74,Processador Intel® Core™ i3-13100T,4,4.20 GHz
75,Processador Intel® Core™ i3-13100TE,4,4.10 GHz
76,Processador Intel® Core™ i3-1315U,6,4.5 GHz
77,Processador Intel® Core™ i3-1315U,6,4.50 GHz
78,Processador Intel® Core™ i3-1315UE,6,4.50 GHz
79,Processador Intel® Core™ i3-1315URE,6,4.50 GHz
80,Processador Intel® Core™ i3-1320PE,8,4.50 GHz
81,Processador Intel® Core™ i3-13300HE,8,4.6 GHz
82,Processador Intel® Core™ i3-N300,8,3.80 GHz
83,Processador Intel® Core™ i3-N305,8,3.80 GHz
84,Processador Intel® Core™ i5-1334U,10,4.60 GHz
85,Processador Intel® Core™ i5-1335U,10,4.6 GHz
86,Processador Intel® Core™ i5-1335UE,10,4.50 GHz
87,Processador Intel® Core™ i5-13400,10,4.60 GHz
88,Processador Intel® Core™ i5-13400E,10,4.60 GHz
89,Processador Intel® Core™ i5-13400F,10,4.60 GHz
90,Processador Intel® Core™ i5-13400T,10,4.40 GHz
91,Processador Intel® Core™ i5-1340P,12,4.60 GHz
92,Processador Intel® Core™ i5-1340PE,12,4.50 GHz
93,Processador Intel® Core™ i5-13420H,8,4.60 GHz
94,Processador Intel® Core™ i5-13450HX,10,4.60 GHz
95,Processador Intel® Core™ i5-1345U,10,4.7 GHz
96,Processador Intel® Core™ i5-1345UE,10,4.60 GHz
97,Processador Intel® Core™ i5-1345URE,10,4.60 GHz
98,Processador Intel® Core™ i5-13500,14,4.80 GHz
99,Processador Intel® Core™ i5-13500E,14,4.60 GHz
100,Processador Intel® Core™ i5-13500H,12,4.7 GHz
101,Processador Intel® Core™ i5-13500H,12,4.70 GHz
102,Processador Intel® Core™ i5-13500HX,14,4.70 GHz
103,Processador Intel® Core™ i5-13500T,14,4.60 GHz
104,Processador Intel® Core™ i5-13500TE,14,4.50 GHz
105,Processador Intel® Core™ i5-13505H,12,4.70 GHz
106,Processador Intel® Core™ i5-1350P,12,4.70 GHz
107,Processador Intel® Core™ i5-1350PE,12,4.60 GHz
108,Processador Intel® Core™ i5-13600,14,5 GHz
109,Processador Intel® Core™ i5-13600H,12,4.8 GHz
110,Processador Intel® Core™ i5-13600HE,12,4.80 GHz
111,Processador Intel® Core™ i5-13600HX,14,4.80 GHz
112,Processador Intel® Core™ i5-13600T,14,4.8 GHz
113,Processador Intel® Core™ i7-1355U,10,5 GHz
114,Processador Intel® Core™ i7-1360P,12,5.00 GHz
115,Processador Intel® Core™ i7-13620H,10,4.90 GHz
116,Processador Intel® Core™ i7-13650HX,14,4.90 GHz
117,Processador Intel® Core™ i7-1365U,10,5.2 GHz
118,Processador Intel® Core™ i7-1365UE,10,4.90 GHz
119,Processador Intel® Core™ i7-13700,16,5.20 GHz
120,Processador Intel® Core™ i7-13700E,16,5.10 GHz
121,Processador Intel® Core™ i7-13700F,16,5.20 GHz
122,Processador Intel® Core™ i7-13700H,14,5 GHz
123,Processador Intel® Core™ i7-13700HX,16,5.00 GHz
124,Processador Intel® Core™ i7-13700T,16,4.90 GHz
125,Processador Intel® Core™ i7-13700TE,16,4.80 GHz
126,Processador Intel® Core™ i7-13705H,14,5.00 GHz
127,Processador Intel® Core™ i7-1370P,14,5.20 GHz
128,Processador Intel® Core™ i7-1370PE,14,4.80 GHz
129,Processador Intel® Core™ i7-1375PRE,14,4.8 GHz
130,Processador Intel® Core™ i7-13800H,14,5.2 GHz
131,Processador Intel® Core™ i7-13800HE,14,5.00 GHz
132,Processador Intel® Core™ i7-13850HX,20,5.30 GHz
133,Processador Intel® Core™ i9-13900,24,5.60 GHz
134,Processador Intel® Core™ i9-13900E,24,5.20 GHz
135,Processador Intel® Core™ i9-13900F,24,5.60 GHz
136,Processador Intel® Core™ i9-13900H,14,5.40 GHz
137,Processador Intel® Core™ i9-13900HK,14,5.40 GHz
138,Processador Intel® Core™ i9-13900HX,24,5.40 GHz
139,Processador Intel® Core™ i9-13900T,24,5.30 GHz
140,Processador Intel® Core™ i9-13900TE,24,5.00 GHz
141,processador Intel® Core™ i9-13905H,14,5.40 GHz
142,Processador Intel® Core™ i9-13950HX,24,5.50 GHz
143,Processador Intel® Core™ i9-13980HX,24,5.60 GHz
144,Processador Intel® Core™ i3-1320PRE,8,4.50 GHz
145,Processador Intel® Core™ i3-13300HRE,8,4.60 GHz
146,Processador Intel® Core™ i5-1350PRE,12,4.60 GHz
147,Processador Intel® Core™ i5-13600HRE,12,4.80 GHz
148,Processador Intel® Core™ i7-13800HRE,14,5.00 GHz
149,Processador Intel® Core™ i5-13600K,14,5.1 GHz
150,Processador Intel® Core™ i5-13600KF,14,5.1 GHz
151,Processador Intel® Core™ i7-13700K,16,5.40 GHz
152,Processador Intel® Core™ i7-13700KF,16,5.40 GHz
153,Processador Intel® Core™ i9-13900K,24,5.80 GHz
154,Processador Intel® Core™ i9-13900KF,24,5.8 GHz
155,Processador Intel® Core™ i3-1215UL,6,4.40 GHz
156,Processador Intel® Core™ i3-12300HL,8,4.40 GHz
157,Processador Intel® Core™ i5-1235UL,10,4.40 GHz
158,Processador Intel® Core™ i5-1245UL,10,4.40 GHz
159,Processador Intel® Core™ i5-12500HL,12,4.50 GHz
160,Processador Intel® Core™ i5-12600HL,12,4.50 GHz
161,Processador Intel® Core™ i7-1255UL,10,4.70 GHz
162,Processador Intel® Core™ i7-1265UL,10,4.80 GHz
163,Processador Intel® Core™ i7-12700HL,14,4.70 GHz
164,Processador Intel® Core™ i7-12800HL,14,4.80 GHz
165,Processador Intel® Core™ i5-12450HX,8,4.40 GHz
166,Processador Intel® Core™ i5-12600HX,12,4.60 GHz
167,Processador Intel® Core™ i7-12650HX,14,4.70 GHz
168,Processador Intel® Core™ i7-12800HX,16,4.80 GHz
169,Processador Intel® Core™ i7-12850HX,16,4.80 GHz
170,Processador Intel® Core™ i9-12900HX,16,5.00 GHz
171,Processador Intel® Core™ i9-12950HX,16,5.00 GHz
172,Processador Intel® Core™ i9-12900KS,16,5.50 GHz
173,Processador Intel® Core™ i3-i3-1215UE,6,
174,Processador Intel® Core™ i3-1220PE,8,
175,Processador Intel® Core™ i5-1245UE,10,
176,Processador Intel® Core™ i5-1250PE,12,
177,Processador Intel® Core™ i7-1265UE,10,
178,Processador Intel® Core™ i7-1270PE,12,
179,Processador Intel® Core™ i3-1210U,6,4.40 GHz
180,Processador Intel® Core™ i3-1215U,6,4.40 GHz
181,Processador Intel® Core™ i3-1215U,6,4.40 GHz
182,Processador Intel® Core™ i3-1220P,10,4.40 GHz
183,Processador Intel® Core™ i5-1230U,10,4.40 GHz
184,Processador Intel® Core™ i5-1235U,10,4.40 GHz
185,Processador Intel® Core™ i5-1235U,10,4.40 GHz
186,Processador Intel® Core™ i5-1240P,12,4.40 GHz
187,Processador Intel® Core™ i5-1240U,10,4.40 GHz
188,Processador Intel® Core™ i5-1245U,10,4.40 GHz
189,Processador Intel® Core™ i5-1250P,12,4.40 GHz
190,Processador Intel® Core™ i7-1250U,10,4.70 GHz
191,Processador Intel® Core™ i7-1255U,10,4.70 GHz
192,Processador Intel® Core™ i7-1260P,12,4.70 GHz
193,Processador Intel® Core™ i7-1260U,10,4.70 GHz
194,Processador Intel® Core™ i7-1265U,10,4.80 GHz
195,Processador Intel® Core™ i7-1270P,12,4.80 GHz
196,Processador Intel® Core™ i7-1280P,14,4.80 GHz
197,Processador Intel® Core™ i3-12100,4,4.30 GHz
198,Processador Intel® Core™ i3-12100E,4,4.20 GHz
199,Processador Intel® Core™ i3-12100F,4,4.30 GHz
200,Processador Intel® Core™ i3-12100T,4,4.10 GHz
201,Processador Intel® Core™ i3-12100TE,4,4.00 GHz
202,Processador Intel® Core™ i3-12300,4,4.40 GHz
203,Processador Intel® Core™ i3-12300HE,8,
204,Processador Intel® Core™ i3-12300T,4,4.20 GHz
205,Intel® Core™ i5-12400 Processor,6,4.40 GHz
206,Intel® Core™ i5-12400F Processor,6,4.40 GHz
207,Processador Intel® Core™ i5-12400T,6,4.20 GHz
208,Processador Intel® Core™ i5-12450H,8,4.40 GHz
209,Processador Intel® Core™ i5-12500,6,4.60 GHz
210,Processador Intel® Core™ i5-12500E,6,4.50 GHz
211,Processador Intel® Core™ i5-12500H,12,4.50 GHz
212,Processador Intel® Core™ i5-12500T,6,4.40 GHz
213,Processador Intel® Core™ i5-12500TE,6,4.30 GHz
214,Processador Intel® Core™ i5-12600,6,4.80 GHz
215,Processador Intel® Core™ i5-12600H,12,4.50 GHz
216,Processador Intel® Core™ i5-12600HE,12,
217,Processador Intel® Core™ i5-12600T,6,4.60 GHz
218,Processador Intel® Core™ i7-12650H,10,4.70 GHz
219,Intel® Core™ i7-12700 Processor,12,4.90 GHz
220,Processador Intel® Core™ i7-12700E,12,4.80 GHz
221,Intel® Core™ i7-12700F Processor,12,4.90 GHz
222,Processador Intel® Core™ i7-12700H,14,4.70 GHz
223,Intel® Core™ i7-12700T Processor,12,4.70 GHz
224,Processador Intel® Core™ i7-12700TE,12,4.60 GHz
225,Processador Intel® Core™ i7-12800H,14,4.80 GHz
226,Processador Intel® Core™ i7-12800HE,14,
227,Intel® Core™ i9-12900 Processor,16,5.10 GHz
228,Processador Intel® Core™ i9-12900E,16,5.00 GHz
229,Intel® Core™ i9-12900F Processor,16,5.10 GHz
230,Processador Intel® Core™ i9-12900H,14,5.00 GHz
231,Processador Intel® Core™ i9-12900HK,14,5.00 GHz
232,Intel® Core™ i9-12900T Processor,16,4.90 GHz
233,Processador Intel® Core™ i9-12900TE,16,4.80 GHz
234,Intel® Core™ i5-12600K Processor,10,4.90 GHz
235,Intel® Core™ i5-12600KF Processor,10,4.90 GHz
236,Intel® Core™ i7-12700K Processor,12,5.00 GHz
237,Intel® Core™ i7-12700KF Processor,12,5.00 GHz
238,Intel® Core™ i9-12900K Processor,16,5.20 GHz
239,Intel® Core™ i9-12900KF Processor,16,5.20 GHz
240,Processador Intel® Core™ i3-11100HE,4,4.40 GHz
241,Processador Intel® Core™ i5-11500HE,6,4.50 GHz
242,Processador Intel® Core™ i7-11850HE,8,4.70 GHz
243,Processador Intel® Core™ i7-11600H,6,4.60 GHz
244,Processador Intel® Core™ i5-11320H,4,4.50 GHz
245,Processador Intel® Core™ i7-11390H,4,5.00 GHz
246,Processador Intel® Core™ i5-1155G7,4,4.50 GHz
247,Processador Intel® Core™ i5-1155G7,4,4.50 GHz
248,Processador Intel® Core™ i7-1195G7,4,5.00 GHz
249,Processador Intel® Core™ i7-1195G7,4,5.00 GHz
250,Processador Intel® Core™ i5-11260H,6,4.40 GHz
251,Processador Intel® Core™ i5-11400H,6,4.50 GHz
252,Processador Intel® Core™ i5-11500H,6,4.60 GHz
253,Processador Intel® Core™ i7-11800H,8,4.60 GHz
254,Processador Intel® Core™ i7-11850H,8,4.80 GHz
255,Processador Intel® Core™ i9-11900H,8,4.90 GHz
256,Processador Intel® Core™ i9-11950H,8,5.00 GHz
257,Processador Intel® Core™ i9-11980HK,8,5.00 GHz
258,Processador Intel® Core™ i3-10105,4,4.40 GHz
259,Processador Intel® Core™ i3-10105F,4,4.40 GHz
260,Processador Intel® Core™ i3-10105T,4,3.90 GHz
261,Processador Intel® Core™ i3-10305,4,4.50 GHz
262,Processador Intel® Core™ i3-10305T,4,4.00 GHz
263,Processador Intel® Core™ i3-10325,4,4.70 GHz
264,Processador Intel® Core™ i5-10505,6,4.60 GHz
265,Processador Intel® Core™ i5-11400,6,4.40 GHz
266,Processador Intel® Core™ i5-11400F,6,4.40 GHz
267,Processador Intel® Core™ i5-11400T,6,3.70 GHz
268,Processador Intel® Core™ i5-11500,6,4.60 GHz
269,Processador Intel® Core™ i5-11500T,6,3.90 GHz
270,Processador Intel® Core™ i5-11600,6,4.80 GHz
271,Processador Intel® Core™ i5-11600K,6,4.90 GHz
272,Processador Intel® Core™ i5-11600KF,6,4.90 GHz
273,Processador Intel® Core™ i5-11600T,6,4.10 GHz
274,Processador Intel® Core™ i7-11700,8,4.90 GHz
275,Processador Intel® Core™ i7-11700F,8,4.90 GHz
276,Processador Intel® Core™ i7-11700K,8,5.00 GHz
277,Processador Intel® Core™ i7-11700KF,8,5.00 GHz
278,Processador Intel® Core™ i7-11700T,8,4.60 GHz
279,Processador Intel® Core™ i9-11900,8,5.20 GHz
280,Processador Intel® Core™ i9-11900F,8,5.20 GHz
281,Processador Intel® Core™ i9-11900K,8,5.30 GHz
282,Processador Intel® Core™ i9-11900KF,8,5.30 GHz
283,Processador Intel® Core™ i9-11900T,8,4.90 GHz
284,Processador Intel® Core™ i3-10100Y,2,3.90 GHz
285,Processador Intel® Core™ i5-11300H,4,4.40 GHz
286,Processador Intel® Core™ i5-1140G7,4,4.20 GHz
287,Processador Intel® Core™ i5-1145G7,4,4.40 GHz
288,Processador Intel® Core™ i7-11370H,4,4.80 GHz
289,Processador Intel® Core™ i7-11375H,4,5.00 GHz
290,Processador Intel® Core™ i7-1180G7,4,4.60 GHz
291,Processador Intel® Core™ i5-10500H,6,4.50 GHz
292,Processador Intel® Core™ i3-10100F,4,4.30 GHz
293,Processador Intel® Core™ i3-1115G4E,2,3.90 GHz
294,Processador Intel® Core™ i3-1115GRE,2,3.90 GHz
295,Processador Intel® Core™ i3-1120G4,4,3.50 GHz
296,Processador Intel® Core™ i3-1125G4,4,3.70 GHz
297,Processador Intel® Core™ i3-1125G4,4,3.70 GHz
298,Processador Intel® Core™ i5-1145G7E,4,4.10 GHz
299,Processador Intel® Core™ i5-1145GRE,4,4.10 GHz
300,Processador Intel® Core™ i7-1185G7E,4,4.40 GHz
301,Processador Intel® Core™ i7-1185GRE,4,4.40 GHz
302,Processador Intel® Core™ i7-10870H,8,5.00 GHz
303,Processador Intel® Core™ i3-1110G4,2,3.90 GHz
304,Processador Intel® Core™ i3-1115G4,2,4.10 GHz
305,Processador Intel® Core™ i3-1115G4,2,4.10 GHz
306,Processador Intel® Core™ i5-1130G7,4,4.00 GHz
307,Processador Intel® Core™ i5-1135G7,4,4.20 GHz
308,Processador Intel® Core™ i5-1135G7,4,4.20 GHz
309,Processador Intel® Core™ i7-1160G7,4,4.40 GHz
310,Processador Intel® Core™ i7-1165G7,4,4.70 GHz
311,Processador Intel® Core™ i7-1165G7,4,4.70 GHz
312,Processador Intel® Core™ i7-1185G7,4,4.80 GHz
313,Processador Intel® Core™ i5-10200H,4,4.10 GHz
314,Processador Intel® Core™ i9-10850K,10,5.20 GHz
315,Processador Intel® Core™ i3-L13G4,5,2.80 GHz
316,Processador Intel® Core™ i5-L16G7,5,3.00 GHz
317,Processador Intel® Core™ i5-10310U,4,4.40 GHz
318,Processador Intel® Core™ i7-10610U,4,4.90 GHz
319,Processador Intel® Core™ i7-10810U,6,4.90 GHz
320,Processador Intel® Core™ i9-10885H,8,5.30 GHz
321,Processador Intel® Core™ i3-10100,4,4.30 GHz
322,Processador Intel® Core™ i3-10100E,4,3.80 GHz
323,Processador Intel® Core™ i3-10100T,4,3.80 GHz
324,Processador Intel® Core™ i3-10100TE,4,3.60 GHz
325,Processador Intel® Core™ i3-10300,4,4.40 GHz
326,Processador Intel® Core™ i3-10300T,4,3.90 GHz
327,Processador Intel® Core™ i3-10320,4,4.60 GHz
328,Processador Intel® Core™ i5-10400,6,4.30 GHz
329,Processador Intel® Core™ i5-10400F,6,4.30 GHz
